Date,Open,High,Low,Close,Adj Close,Volume
2002-04-01,305.730011,313.250000,298.250000,305.839996,305.839996,3886300
2002-05-01,305.769989,308.690002,276.980011,288.399994,288.399994,5337500
2002-06-01,288.519989,288.910004,265.450012,273.880005,273.880005,6070800
2002-07-01,273.880005,274.059998,186.490005,237.199997,237.199997,9437500
2002-08-01,237.029999,256.700012,223.289993,242.520004,242.520004,5426000
2002-09-01,242.529999,242.550003,202.759995,215.070007,215.070007,5671900
2002-10-01,215.110001,220.080002,162.520004,198.250000,198.250000,10235000
2002-11-01,198.100006,209.910004,189.399994,203.289993,203.289993,5973100
2002-12-01,203.270004,216.880005,196.300003,215.179993,215.179993,4784300
2003-01-01,215.160004,231.270004,203.059998,207.750000,207.750000,6198800
2003-02-01,207.839996,210.149994,186.539993,197.960007,197.960007,5577900
2003-03-01,198.070007,210.929993,194.850006,208.000000,208.000000,5266900
2003-04-01,208.110001,225.649994,207.850006,224.850006,224.850006,5340800
2003-05-01,224.660004,249.179993,220.929993,245.630005,245.630005,6559000
2003-06-01,245.770004,256.989990,245.250000,250.990005,250.990005,5385000
2003-07-01,250.899994,251.610001,232.690002,235.929993,235.929993,4829600
2003-08-01,235.919998,240.470001,229.460007,239.570007,239.570007,4431300
2003-09-01,239.570007,252.020004,238.779999,250.589996,250.589996,4504300
2003-10-01,250.559998,255.649994,250.199997,252.699997,252.699997,4794000
2003-11-01,252.770004,255.570007,243.259995,250.410004,250.410004,3545000
2003-12-01,250.449997,267.899994,250.089996,266.899994,266.899994,4253700
2004-01-01,266.790009,274.220001,263.899994,271.940002,271.940002,4577900
2004-02-01,271.920013,278.429993,267.279999,278.019989,278.019989,4262000
2004-03-01,278.019989,281.869995,272.059998,281.089996,281.089996,4474600
2004-04-01,281.149994,283.519989,266.619995,273.600006,273.600006,5041100
2004-05-01,273.570007,276.970001,259.079987,275.820007,275.820007,5251400
2004-06-01,275.760010,281.690002,270.329987,277.890015,277.890015,3992000
2004-07-01,278.010010,285.070007,274.519989,281.309998,281.309998,4144800
2004-08-01,281.179993,290.589996,280.589996,290.549988,290.549988,3982200
2004-09-01,290.429993,296.450012,289.750000,295.329987,295.329987,4271100
2004-10-01,295.339996,314.589996,295.299988,313.339996,313.339996,4686100
2004-11-01,313.350006,335.200012,308.690002,325.790009,325.790009,5039800
2004-12-01,325.489990,337.790009,315.029999,334.950012,334.950012,5121100
2005-01-01,334.920013,343.459991,323.790009,343.459991,343.459991,4294900
2005-02-01,343.510010,358.200012,342.480011,352.890015,352.890015,4583900
2005-03-01,352.890015,363.820007,346.459991,358.329987,358.329987,5779900
2005-04-01,358.390015,372.059998,355.190002,371.470001,371.470001,4786200
2005-05-01,371.489990,374.279999,349.250000,365.130005,365.130005,5761400
2005-06-01,364.779999,389.279999,364.260010,386.589996,386.589996,4312400
2005-07-01,386.660004,400.170013,379.529999,397.290009,397.290009,3826300
2005-08-01,397.290009,409.179993,386.809998,407.459991,407.459991,24220900
2005-09-01,407.540009,434.910004,405.559998,432.380005,432.380005,45131200
2005-10-01,432.380005,438.739990,378.950012,401.109985,401.109985,39855500
2005-11-01,401.109985,406.540009,384.970001,400.149994,400.149994,58591900
2005-12-01,400.420013,421.950012,399.769989,405.109985,405.109985,27809700
2006-01-01,405.269989,427.500000,404.540009,413.839996,413.839996,4896800
2006-02-01,413.839996,417.950012,397.880005,412.839996,412.839996,4530500
2006-03-01,412.559998,414.700012,388.790009,389.010010,389.010010,5582100
2006-04-01,388.859985,402.350006,380.970001,397.459991,397.459991,4730900
2006-05-01,397.399994,411.510010,389.299988,406.170013,406.170013,6192900
2006-06-01,406.269989,416.649994,400.410004,413.950012,413.950012,5853600
2006-07-01,413.950012,438.540009,411.809998,433.420013,433.420013,4323800
2006-08-01,433.420013,443.200012,429.429993,442.549988,442.549988,4725300
2006-09-01,442.649994,443.489990,421.869995,428.399994,428.399994,4441800
2006-10-01,428.440002,454.390015,426.839996,448.290009,448.290009,4502000
2006-11-01,448.359985,456.459991,440.320007,455.869995,455.869995,4779600
2006-12-01,455.940002,462.880005,454.089996,456.769989,456.769989,3510000
2007-01-01,456.769989,461.040009,443.779999,454.540009,454.540009,5099800
2007-02-01,454.369995,501.989990,454.190002,479.190002,479.190002,6706800
2007-03-01,479.190002,505.149994,468.640015,500.179993,500.179993,39347900
2007-04-01,500.239990,532.030029,500.239990,519.250000,519.250000,26471200
2007-05-01,519.250000,537.119995,507.750000,521.789978,521.789978,5363900
2007-06-01,521.940002,524.549988,484.380005,498.170013,498.170013,34768600
2007-07-01,498.170013,521.320007,469.630005,479.359985,479.359985,9621200
2007-08-01,479.410004,510.170013,460.679993,484.790009,484.790009,7583600
2007-09-01,484.600006,514.250000,482.420013,501.540009,501.540009,3892600
2007-10-01,501.880005,535.739990,493.410004,534.950012,534.950012,3837200
2007-11-01,534.609985,534.609985,508.940002,532.250000,532.250000,23655600
2007-12-01,532.229980,555.070007,531.479980,532.530029,532.530029,3545200
2008-01-01,532.500000,555.710022,477.820007,502.679993,502.679993,5476900
2008-02-01,502.630005,521.200012,475.049988,477.500000,477.500000,3980000
2008-03-01,477.380005,492.730011,466.739990,479.000000,479.000000,5011800
2008-04-01,480.079987,520.419983,479.609985,510.519989,510.519989,3859300
2008-05-01,510.209991,530.570007,502.839996,521.650024,521.650024,3464700
2008-06-01,521.650024,528.609985,505.350006,520.849976,520.849976,3800100
2008-07-01,520.400024,527.280029,475.880005,484.880005,484.880005,5001200
2008-08-01,484.809998,487.609985,458.369995,477.519989,477.519989,3032800
2008-09-01,477.700012,480.600006,420.250000,428.450012,428.450012,4625800
2008-10-01,428.450012,431.649994,294.299988,378.420013,378.420013,6308200
2008-11-01,378.290009,395.109985,331.769989,382.239990,382.239990,4584300
2008-12-01,381.829987,381.869995,339.450012,370.760010,370.760010,4360600
2009-01-01,370.760010,388.859985,349.980011,369.700012,369.700012,4154200
2009-02-01,369.420013,387.440002,318.359985,323.970001,323.970001,4554500
2009-03-01,323.619995,340.820007,288.660004,329.369995,329.369995,5493900
2009-04-01,329.250000,342.609985,324.390015,334.200012,334.200012,4503600
2009-05-01,334.309998,357.910004,325.670013,340.989990,340.989990,4192400
2009-06-01,341.149994,360.579987,338.369995,357.809998,357.809998,4441300
2009-07-01,357.980011,379.230011,342.019989,369.470001,369.470001,3701400
2009-08-01,369.459991,383.109985,364.799988,373.350006,373.350006,3267000
2009-09-01,373.320007,385.910004,365.790009,377.230011,377.230011,4170700
2009-10-01,377.220001,388.619995,361.839996,363.040009,363.040009,4320800
2009-11-01,363.109985,382.799988,359.329987,379.200012,379.200012,3564400
2009-12-01,379.269989,408.570007,379.269989,398.010010,398.010010,3550800
2010-01-01,398.140015,403.950012,378.100006,378.250000,378.250000,3576400
2010-02-01,378.269989,384.390015,361.500000,367.390015,367.390015,3671200
2010-03-01,367.339996,384.670013,367.339996,378.820007,378.820007,3688800
2010-04-01,378.980011,391.390015,377.709991,387.950012,387.950012,3440400
2010-05-01,388.019989,393.890015,346.950012,361.190002,361.190002,5030300
2010-06-01,361.109985,386.440002,352.690002,357.739990,357.739990,4376300
2010-07-01,357.690002,395.600006,353.529999,385.529999,385.529999,3626900
2010-08-01,386.089996,398.980011,381.429993,388.970001,388.970001,3733700
2010-09-01,389.070007,402.399994,389.070007,398.230011,398.230011,4649000
2010-10-01,398.339996,413.750000,397.059998,404.859985,404.859985,3272500
2010-11-01,404.980011,410.019989,387.880005,391.399994,391.399994,3370200
2010-12-01,391.739990,407.320007,391.679993,404.989990,404.989990,3869300
2011-01-01,405.149994,416.470001,402.760010,409.350006,409.350006,3294300
2011-02-01,409.600006,417.119995,406.779999,415.609985,415.609985,3114500
2011-03-01,415.600006,422.429993,394.109985,413.059998,413.059998,4347600
2011-04-01,413.119995,429.420013,405.980011,429.059998,429.059998,2867800
2011-05-01,429.260010,441.859985,426.089996,436.369995,436.369995,3760600
2011-06-01,435.929993,436.089996,419.690002,433.480011,433.480011,3767400
2011-07-01,433.480011,442.010010,426.269989,431.170013,431.170013,3054500
2011-08-01,431.369995,436.179993,381.989990,435.059998,435.059998,6395700
2011-09-01,435.059998,449.089996,414.660004,433.380005,433.380005,4545200
2011-10-01,433.170013,459.940002,411.540009,450.140015,450.140015,4063300
2011-11-01,449.799988,455.130005,422.899994,448.839996,448.839996,3648400
2011-12-01,448.670013,467.640015,439.850006,464.679993,464.679993,3324700
2012-01-01,464.679993,466.790009,441.880005,448.839996,448.839996,3241500
2012-02-01,448.910004,454.570007,446.470001,451.540009,451.540009,2859000
2012-03-01,451.600006,461.809998,448.980011,458.929993,458.929993,3253200
2012-04-01,458.920013,470.709991,448.920013,470.529999,470.529999,2985700
2012-05-01,470.579987,474.179993,462.440002,468.040009,468.040009,3287600
2012-06-01,467.880005,486.390015,463.709991,481.359985,481.359985,3384300
2012-07-01,481.359985,497.410004,475.230011,492.619995,492.619995,2471700
2012-08-01,492.670013,499.820007,466.839996,468.209991,468.209991,2415500
2012-09-01,468.190002,478.480011,466.369995,475.750000,475.750000,2150700
2012-10-01,475.750000,487.579987,471.790009,479.399994,479.399994,1993000
2012-11-01,479.059998,479.519989,435.570007,454.119995,454.119995,2812800
2012-12-01,454.190002,461.690002,443.690002,453.089996,453.089996,3529200
2013-01-01,453.290009,474.549988,453.290009,474.000000,474.000000,2387500
2013-02-01,474.000000,482.339996,469.350006,480.410004,480.410004,2250600
2013-03-01,480.410004,508.790009,476.790009,508.399994,508.399994,2393400
2013-04-01,508.399994,537.859985,506.220001,537.320007,537.320007,12371700
2013-05-01,537.320007,537.320007,480.230011,482.160004,482.160004,2719100
2013-06-01,482.190002,491.450012,462.660004,485.899994,485.899994,3184200
2013-07-01,486.690002,510.429993,472.380005,503.970001,503.970001,2354400
2013-08-01,505.220001,509.489990,474.130005,477.869995,477.869995,13424900
2013-09-01,479.609985,497.980011,467.929993,482.290009,482.290009,2442800
2013-10-01,482.380005,509.299988,476.970001,499.869995,499.869995,2521600
2013-11-01,500.489990,510.489990,485.570007,487.130005,487.130005,2757800
2013-12-01,487.130005,491.570007,476.049988,490.570007,490.570007,2964000
2014-01-01,490.309998,507.519989,479.049988,506.260010,506.260010,2729700
2014-02-01,506.410004,528.030029,494.929993,518.770020,518.770020,2464400
2014-03-01,518.770020,533.799988,508.359985,532.130005,532.130005,2772700
2014-04-01,532.130005,558.289978,525.750000,553.580017,553.580017,2750400
2014-05-01,553.580017,556.690002,526.969971,544.960022,544.960022,2657900
2014-06-01,544.900024,576.979980,531.380005,575.979980,575.979980,3107200
2014-07-01,576.020020,576.020020,538.869995,539.299988,539.299988,3261500
2014-08-01,539.369995,564.400024,524.820007,564.369995,564.369995,2219100
2014-09-01,564.200012,568.140015,542.130005,551.289978,551.289978,2473300
2014-10-01,551.270020,599.030029,547.669983,596.929993,596.929993,3042200
2014-11-01,597.229980,609.309998,584.690002,599.700012,599.700012,2223800
2014-12-01,599.599976,645.739990,587.450012,618.080017,618.080017,2774500
2015-01-01,618.080017,657.169983,611.789978,637.200012,637.200012,2363900
2015-02-01,637.280029,643.270020,588.630005,594.169983,594.169983,2650100
2015-03-01,594.169983,600.229980,565.349976,587.080017,587.080017,3342200
2015-04-01,586.979980,601.570007,579.640015,586.630005,586.630005,2562900
2015-05-01,586.789978,598.549988,570.419983,586.979980,586.979980,2612200
2015-06-01,587.150024,591.419983,548.909973,550.320007,550.320007,3219800
2015-07-01,550.669983,588.679993,549.659973,583.940002,583.940002,3340900
2015-08-01,583.989990,610.919983,555.460022,573.760010,573.760010,4980049500
2015-09-01,561.190002,577.700012,539.960022,576.830017,576.830017,3656600
2015-10-01,576.830017,606.760010,565.739990,580.500000,580.500000,3366700
2015-11-01,580.619995,584.679993,551.809998,563.130005,563.130005,2989800
2015-12-01,563.859985,587.330017,547.219971,577.820007,577.820007,3418300
2016-01-01,574.510010,611.909973,569.119995,611.349976,611.349976,3493900
2016-02-01,610.960022,637.929993,606.140015,620.700012,620.700012,3796100
2016-03-01,623.130005,669.460022,607.580017,668.570007,668.570007,3725100
2016-04-01,667.450012,672.280029,630.679993,654.440002,654.440002,2825000
2016-05-01,654.979980,672.400024,635.979980,659.440002,659.440002,3031700
2016-06-01,658.489990,716.570007,654.590027,716.520020,716.520020,3338400
2016-07-01,718.049988,723.830017,699.030029,711.419983,711.419983,2667000
2016-08-01,710.330017,712.650024,662.380005,666.869995,666.869995,2997800
2016-09-01,666.549988,698.580017,655.979980,668.130005,668.130005,3025800
2016-10-01,667.330017,679.090027,638.219971,675.229980,675.229980,2804900
2016-11-01,674.909973,675.030029,616.190002,632.669983,632.669983,3373100
2016-12-01,630.150024,665.929993,622.880005,645.859985,645.859985,9693300
2017-01-01,660.030029,669.099976,648.340027,668.869995,668.869995,8464100
2017-02-01,663.919983,704.960022,654.140015,703.159973,703.159973,8947800
2017-03-01,697.830017,710.000000,683.440002,697.280029,697.280029,10347200
2017-04-01,696.690002,711.469971,691.109985,704.349976,704.349976,8304300
2017-05-01,705.169983,728.979980,691.400024,726.619995,726.619995,9749400
2017-06-01,726.299988,738.820007,704.530029,706.909973,706.909973,9489000
2017-07-01,708.549988,728.030029,697.760010,726.479980,726.479980,8127400
2017-08-01,726.960022,750.320007,722.950012,743.239990,743.239990,8298100
2017-09-01,743.840027,755.369995,716.619995,723.599976,723.599976,8383200
2017-10-01,725.799988,755.000000,718.960022,753.200012,753.200012,9663100
2017-11-01,754.929993,778.799988,746.539978,770.390015,770.390015,9669100
2017-12-01,771.890015,773.880005,714.570007,723.369995,723.369995,11119300
2018-01-01,723.179993,723.530029,680.010010,699.250000,699.250000,15795700
2018-02-01,699.260010,703.460022,647.809998,668.809998,668.809998,13893300
2018-03-01,669.479980,696.799988,660.070007,692.630005,692.630005,14302600
2018-04-01,694.289978,711.849976,676.539978,707.010010,707.010010,10801400
2018-05-01,706.739990,707.809998,662.809998,695.210022,695.210022,11644600
2018-06-01,695.200012,719.039978,655.520020,711.640015,711.640015,12145400
2018-07-01,712.419983,731.260010,700.090027,724.239990,724.239990,10388500
2018-08-01,720.130005,747.659973,711.780029,726.409973,726.409973,10814900
2018-09-01,728.710022,745.070007,703.109985,720.599976,720.599976,12002400
2018-10-01,719.580017,758.419983,712.059998,733.840027,733.840027,13082500
2018-11-01,735.849976,748.729980,710.109985,741.919983,741.919983,15705000
2018-12-01,737.900024,762.260010,681.849976,712.929993,712.929993,13122900
2019-01-01,710.580017,729.460022,688.440002,727.250000,727.250000,18353500
2019-02-01,726.309998,759.210022,716.330017,756.340027,756.340027,9953600
2019-03-01,756.390015,790.140015,753.070007,778.719971,778.719971,10845000
2019-04-01,778.729980,790.369995,766.830017,790.000000,790.000000,9411900
2019-05-01,786.219971,811.799988,761.039978,784.429993,784.429993,10156200
2019-06-01,786.900024,829.250000,779.030029,810.659973,810.659973,9240700
2019-07-01,809.909973,832.460022,800.030029,808.940002,808.940002,8994600
2019-08-01,807.710022,849.599976,797.380005,845.520020,845.520020,10517500
2019-09-01,845.460022,882.369995,837.770020,878.659973,878.659973,8989900
2019-10-01,876.969971,881.419983,851.429993,867.520020,867.520020,10032000
2019-11-01,868.590027,872.190002,828.890015,851.719971,851.719971,10964100
2019-12-01,848.929993,882.609985,844.090027,879.169983,879.169983,10170800
2020-01-01,879.219971,944.590027,863.669983,938.570007,938.570007,9039400
2020-02-01,940.020020,963.799988,817.969971,839.960022,839.960022,9826100
2020-03-01,843.090027,926.479980,593.520020,756.159973,756.159973,19547400
2020-04-01,727.840027,837.960022,695.000000,778.289978,778.289978,11500400
2020-05-01,771.039978,809.739990,730.309998,806.919983,806.919983,11771000
2020-06-01,805.400024,849.440002,745.400024,767.500000,767.500000,13665300
2020-07-01,768.609985,841.340027,763.109985,830.770020,830.770020,14526000
2020-08-01,828.710022,848.710022,794.450012,803.219971,803.219971,9732600
2020-09-01,800.849976,830.429993,780.270020,814.700012,814.700012,10405800
2020-10-01,816.989990,900.679993,815.690002,857.770020,857.770020,10430800
